timestamp_iso,unix_ts,cpu_pct,mem_mb,pids,db_mem_mb
2026-05-26T18:08:13.941515,1779840493.942,22.770,2440.192,78,240.800
2026-05-26T18:08:22.932203,1779840502.932,18.900,2905.088,78,241.000
2026-05-26T18:08:31.926334,1779840511.926,19.110,1510.400,78,241.300
2026-05-26T18:08:39.973662,1779840519.974,20.070,1876.992,78,241.500
2026-05-26T18:08:48.621127,1779840528.621,44.340,2315.264,79,241.800
2026-05-26T18:08:56.660776,1779840536.661,77.360,2215.936,80,242.600
2026-05-26T18:09:04.709530,1779840544.710,24.470,1854.464,79,242.900
2026-05-26T18:09:12.933418,1779840552.933,14.330,2230.272,77,242.900
2026-05-26T18:09:21.933878,1779840561.934,13.960,2646.016,77,243.600
2026-05-26T18:09:29.982136,1779840569.982,15.880,1225.728,77,243.600
2026-05-26T18:09:38.598049,1779840578.598,15.390,1625.088,78,244.200
2026-05-26T18:09:47.606897,1779840587.607,14.220,2025.472,77,244.200
2026-05-26T18:09:55.659266,1779840595.659,23.140,2317.312,77,244.700
2026-05-26T18:10:03.961751,1779840603.962,18.770,2873.344,79,244.700
2026-05-26T18:10:12.960137,1779840612.960,16.990,2101.248,77,244.900
2026-05-26T18:10:21.951320,1779840621.951,17.120,2497.536,78,244.900
2026-05-26T18:10:30.002277,1779840630.002,17.000,2907.136,78,245.400
2026-05-26T18:10:38.651122,1779840638.651,13.850,1401.856,77,245.600
2026-05-26T18:10:47.609264,1779840647.609,13.430,1794.048,77,245.900
2026-05-26T18:10:55.653365,1779840655.653,14.360,2137.088,77,246.100
2026-05-26T18:11:03.972761,1779840663.973,13.960,1220.608,76,246.400
2026-05-26T18:11:12.963593,1779840672.964,13.740,1608.704,76,246.600
2026-05-26T18:11:21.963153,1779840681.963,13.090,2010.112,76,246.800
2026-05-26T18:11:30.030568,1779840690.031,1.400,2286.592,76,246.700
2026-05-26T18:11:38.698075,1779840698.698,0.930,969.400,74,246.900
2026-05-26T18:11:47.675507,1779840707.676,0.960,973.700,75,246.200
2026-05-26T18:11:55.752557,1779840715.753,0.500,973.400,74,246.200
2026-05-26T18:12:04.054619,1779840724.055,1.010,838.700,66,246.300
2026-05-26T18:12:13.037894,1779840733.038,0.530,842.700,66,246.200
2026-05-26T18:12:22.030676,1779840742.031,0.500,842.700,66,246.100
2026-05-26T18:12:30.112181,1779840750.112,1.700,862.000,66,246.000
2026-05-26T18:12:38.743867,1779840758.744,0.600,847.400,66,246.000
2026-05-26T18:12:47.736557,1779840767.737,0.660,847.400,66,246.000
2026-05-26T18:12:55.820946,1779840775.821,0.470,849.400,66,246.000
2026-05-26T18:13:04.078520,1779840784.079,1.210,858.200,70,245.500
2026-05-26T18:13:13.072850,1779840793.073,0.520,864.200,70,245.500
2026-05-26T18:13:22.078590,1779840802.079,0.470,864.200,70,245.500
2026-05-26T18:13:30.166692,1779840810.167,1.240,881.200,70,246.100
2026-05-26T18:13:38.767860,1779840818.768,0.620,847.900,70,245.500
2026-05-26T18:13:47.749889,1779840827.750,0.510,851.900,70,245.500
2026-05-26T18:13:55.822814,1779840835.823,0.440,851.900,70,245.500
2026-05-26T18:14:04.099315,1779840844.099,1.250,855.300,64,245.500
2026-05-26T18:14:13.097540,1779840853.098,0.490,857.300,64,245.500
2026-05-26T18:14:22.102631,1779840862.103,0.510,857.300,64,245.500
2026-05-26T18:14:30.174809,1779840870.175,2.490,878.300,64,245.500
